,gep1,gep2,gep3,gep4,gep5,gep6,gep7,gep8,gep9,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20
2017-09-27 06:00:00,74.9299621582,75.8299865723,77.6299743652,76.1899719238,75.2900085449,76.3700256348,75.6499328613,75.2900085449,76.1899719238,77.6299743652,75.8299865723,75.109954834,77.0899963379,76.3700256348,77.4499816895,76.5499572754,76.5499572754,76.3700256348,77.2699890137,77.2699890137
2017-09-27 12:00:00,71.3299865723,72.2299499512,71.6899719238,71.8700256348,72.0499572754,71.3299865723,71.8700256348,72.2299499512,72.2299499512,72.9499816895,71.6899719238,71.509979248,71.8700256348,72.7699890137,71.6899719238,71.3299865723,72.9499816895,72.9499816895,72.4100036621,72.5899963379
2017-09-27 18:00:00,71.1499328613,71.8700256348,70.9700012207,71.509979248,71.509979248,70.9700012207,71.509979248,71.6899719238,71.509979248,72.4100036621,71.1499328613,71.3299865723,71.509979248,72.5899963379,71.3299865723,70.9700012207,72.4100036621,72.7699890137,72.2299499512,72.2299499512
2017-09-28 00:00:00,78.3499450684,77.990020752,77.2699890137,76.7299499512,79.2499694824,78.7099914551,79.4299621582,76.3700256348,78.1700134277,78.3499450684,79.609954834,77.6299743652,75.8299865723,80.3299865723,75.2900085449,77.990020752,77.4499816895,78.7099914551,78.1700134277,77.990020752
2017-09-28 06:00:00,72.2299499512,72.9499816895,72.7699890137,72.5899963379,72.4100036621,72.9499816895,72.2299499512,71.8700256348,71.8700256348,73.6700134277,72.7699890137,71.3299865723,72.4100036621,73.1299743652,71.6899719238,73.6700134277,71.509979248,72.5899963379,72.0499572754,71.6899719238
2017-09-28 12:00:00,70.9700012207,70.9700012207,70.2499694824,70.9700012207,70.609954834,70.7900085449,69.5299987793,70.4299621582,69.3499450684,70.9700012207,70.609954834,68.6299743652,70.2499694824,71.1499328613,69.7099914551,70.9700012207,69.3499450684,70.0699768066,69.7099914551,69.5299987793
2017-09-28 18:00:00,70.9700012207,70.609954834,69.8899841309,70.4299621582,70.2499694824,70.4299621582,69.3499450684,70.0699768066,68.990020752,70.7900085449,70.4299621582,68.809967041,69.7099914551,70.7900085449,69.5299987793,70.9700012207,69.3499450684,69.7099914551,69.7099914551,69.5299987793
2017-09-29 00:00:00,79.9700012207,78.7099914551,78.5299987793,75.6499328613,80.8700256348,80.1499328613,80.509979248,74.5699768066,78.8899841309,76.9100036621,79.0699768066,77.990020752,79.7900085449,79.9700012207,79.0699768066,79.2499694824,79.0699768066,80.6899719238,78.8899841309,80.3299865723
2017-09-29 06:00:00,73.093963623,72.7699890137,72.2299499512,72.0499572754,73.8499450684,74.2099914551,74.2099914551,70.609954834,72.0499572754,72.5899963379,72.8059997559,72.5899963379,72.0499572754,74.0299987793,73.1299743652,74.0299987793,73.309967041,74.3899841309,73.309967041,73.1299743652
2017-09-29 12:00:00,67.5499572754,68.2699890137,68.4499816895,68.0899963379,67.9100036621,69.8899841309,69.8899841309,66.8299865723,68.809967041,68.990020752,68.4499816895,69.5299987793,66.109954834,68.6299743652,68.0899963379,69.3499450684,68.809967041,69.7099914551,69.3499450684,68.990020752
